pm25,pm10,co,no2,so2,o3,hour,day,timestamp,predicted_aqi
55.0,16.0,0.0,65.0,41.0,92.0,19,3,2025-05-22 19:47:31.689591,53.67
55.0,16.0,0.0,65.0,41.0,92.0,20,3,2025-05-22 20:47:31.689591,53.67
55.0,16.0,0.0,65.0,41.0,92.0,21,3,2025-05-22 21:47:31.689591,53.76
55.0,16.0,0.0,65.0,41.0,92.0,22,3,2025-05-22 22:47:31.689591,53.76
55.0,16.0,0.0,65.0,41.0,92.0,23,3,2025-05-22 23:47:31.689591,53.76
55.0,16.0,0.0,65.0,41.0,92.0,0,4,2025-05-23 00:47:31.689591,57.0
55.0,16.0,0.0,65.0,41.0,92.0,1,4,2025-05-23 01:47:31.689591,57.0
55.0,16.0,0.0,65.0,41.0,92.0,2,4,2025-05-23 02:47:31.689591,57.0
55.0,16.0,0.0,65.0,41.0,92.0,3,4,2025-05-23 03:47:31.689591,57.0
55.0,16.0,0.0,65.0,41.0,92.0,4,4,2025-05-23 04:47:31.689591,57.0
55.0,16.0,0.0,65.0,41.0,92.0,5,4,2025-05-23 05:47:31.689591,57.0
55.0,16.0,0.0,65.0,41.0,92.0,6,4,2025-05-23 06:47:31.689591,57.0
55.0,16.0,0.0,65.0,41.0,92.0,7,4,2025-05-23 07:47:31.689591,56.83
55.0,16.0,0.0,65.0,41.0,92.0,8,4,2025-05-23 08:47:31.689591,56.68
55.0,16.0,0.0,65.0,41.0,92.0,9,4,2025-05-23 09:47:31.689591,55.95
