id,log_date,timestamp,location,dominan,aqi,pm25,pm10,co,no2,so2,o3
49,2025-04-22 10:55:43.61499+07,2025-04-22 10:00:00+07,surabaya,pm25,108,108,46,,53,44,78
50,2025-04-22 11:11:15.395343+07,2025-04-22 11:00:00+07,surabaya,pm25,111,111,48,,52,44,78
51,2025-04-22 15:15:37.393979+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
52,2025-04-22 15:16:38.828498+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
53,2025-04-22 15:17:39.541888+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
54,2025-04-22 15:18:40.538846+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
55,2025-04-22 15:19:41.255029+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
56,2025-04-22 15:20:41.952958+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
57,2025-04-22 15:21:42.663999+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
58,2025-04-22 15:22:43.380135+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
59,2025-04-22 15:23:44.092215+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
60,2025-04-22 15:24:44.84591+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
61,2025-04-22 15:25:45.52166+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
62,2025-04-22 15:26:46.209826+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
63,2025-04-22 15:27:47.150326+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
64,2025-04-22 15:28:47.867427+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
65,2025-04-22 15:29:48.588989+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
66,2025-04-22 15:30:49.297675+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
