,precision,recall,f1-score,support
Baik,0.8571428571428571,1.0,0.9230769230769231,6.0
Berbahaya,1.0,1.0,1.0,26.0
Sedang,1.0,1.0,1.0,113.0
Tidak Sehat,1.0,0.9972144846796658,0.99860529986053,359.0
accuracy,0.998015873015873,0.998015873015873,0.998015873015873,0.998015873015873
macro avg,0.9642857142857143,0.9993036211699164,0.9804205557343634,504.0
weighted avg,0.9982993197278911,0.998015873015873,0.9980908019610949,504.0
